생약품목코드,일반명,생약명,라틴명,원물생약명,학명,사용부위
KMH528,용아초,Solanum Herb,Solani Nigri Herba,까마중,Solanum nigrum Linn,지상부
KMH530,용담,Gentian Root,Gentiae Scabrae Radix et Rhizoma,"용담, 과엽용담",Gentia scabra Bunge,뿌리줄기
KMH532,짚신나물,Agrimonia Herb,Agrimoniae Herba,짚신나물,Agrimonia pilosa Ledebour,전초
KMH534,용안육,Longan Aril,Longan Arillus,용안,Dimocarpus longan Loureiro,헛씨껍질
KMH538,우방근,Arctium Root,Arctii Radix,우엉,Arctium lappa Linn,뿌리
KMH539,우방자,Arctium Fruit,Arctii Fructus,우엉,Arctium lappa Linn,열매
KMH541,우슬,Achyranthes Root,Achyranthis Radix,"쇠무릎, 우슬",Achyranthes japonica kai,뿌리
KMH542,우절,Lotus Rhizome Node,Nelumbinis Rhizomatis Nodus,연꽃,Nelumbo nucifera Gaertner,뿌리마디
KMH545,욱리인,Prunus Seed,Pruni Japonicae Semen,"이스라지, 옥매",Prunus japonica Thunb,씨
KMH552,원지,Polygala Root,Polygalae Radix,원지,Polygala tenuifolia Willdenow,뿌리
KMH556,원화,Genkwa Flower,Genkwae Flos,팟꽃나무,Daphne genkwa Siebold,꽃봉오리
KMH559,위령선,Clematis Root,Clematidis Radix,"사위질빵, 으아리",Clematis manshurica Ruprecht,뿌리
KMH562,유근피,Elm Bark,Ulmi Cortex,느릅나무,Ulmus macrocarpa Hance,뿌리껍질
KMH565,육계,Cinnamon Bark,Cinmomi Cortex,육계,Cinmomum cassia J.Presl,줄기껍질
KMH568,육두구,Nutmeg,Myristicae Semen,육두구,Myristica fragrans Houttuyn,씨
KMH570,육종용,Cistanche Herb,Cistanchis Herba,육종용,Cistanche deserticola Y. C. Ma,육질줄기
KMH572,율초,Humulus Herb,Humuli Herba,환삼덩굴,Humulus japonicus Siebold,지상부
KMH574,은호,Stellaria Root,Stellariae seu Gypsophilae Radix,은호,Stellaria dichotoma Linn,뿌리
KMH575,은행잎,Ginkgo Leaf,Ginkgo Folium,은행나무,Ginkgo biloba Linn,잎
KMH576,음양곽,Epimedium Herb,Epimedii Herba,"삼지구엽초, 음양곽",Epimedium koreanum kai,지상부
KMH577,의이인,Coix Seed,Coicis Semen,율무,Coix lacrymajobi var. mayuen,씨
KMH580,익모초,Motherwort Herb,Leonuri Herba,익모초,Leonurus japonicus Houttuyn,지상부
